RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,3P%_per_MIN,3P_per_MIN
,Buddy Hield,Gol,G,31.9,13,24.9,23.6,8.9,14,0.857,59,0.542,104,0.462,0.638,0.65,16.9,3.8,1.8,0.8,0.4,1.2,20.8,18.8,22.6,7.8,123.0,104.4,0.018554216867469882,0.14843373493975906
,Stephen Curry,Gol,G,36.7,10,29.1,30.3,17.6,35,0.943,67,0.552,96,0.427,0.604,0.645,23.0,5.3,6.4,1.8,0.6,3.5,28.3,29.4,34.7,12.7,119.6,105.5,0.014673539518900342,0.1408659793814433
,LaMelo Ball,Cha,G,23.2,13,33.9,37.4,15.7,68,0.882,140,0.521,166,0.361,0.533,0.575,29.7,5.0,6.7,1.2,0.2,4.4,34.7,36.4,41.4,11.8,112.5,106.5,0.010648967551622418,0.13597912412071703
,Payton Pritchard,Bos,G,26.8,14,28.2,19.9,10.0,26,0.885,29,0.655,124,0.419,0.634,0.66,15.5,2.6,2.8,1.1,0.1,1.2,18.1,18.3,20.9,6.9,128.8,109.1,0.014858156028368794,0.13160081053698072
,Tyler Herro,Mia,G,24.8,13,33.7,27.3,13.4,50,0.88,93,0.538,126,0.452,0.619,0.654,24.2,4.9,5.2,0.6,0.2,2.6,29.2,29.4,34.3,10.1,122.1,111.2,0.013412462908011869,0.12999771741611504
,Anthony Edwards,Min,G,23.3,14,37.1,30.5,13.0,61,0.754,136,0.537,158,0.424,0.59,0.612,28.1,5.1,3.8,1.1,0.5,3.1,33.1,31.9,36.9,8.8,112.9,110.5,0.011428571428571429,0.1289795918367347
,Malik Beasley,Det,G,28.0,16,28.7,22.4,8.6,21,0.667,67,0.463,145,0.393,0.55,0.558,15.4,3.0,1.6,0.7,0.1,1.3,18.4,17.1,20.1,5.8,108.9,111.9,0.013693379790940768,0.1240962543554007
,Duncan Robinson,Mia,F,30.6,12,20.3,22.2,7.4,7,0.857,30,0.433,82,0.366,0.518,0.53,10.2,2.2,1.8,0.6,0.3,0.8,12.3,12.0,14.2,6.8,107.2,108.1,0.018029556650246303,0.12320197044334974
,Donovan Mitchell,Cle,G,28.2,14,31.2,31.3,10.0,55,0.855,134,0.515,126,0.421,0.571,0.605,24.6,4.4,4.1,1.5,0.3,2.1,28.9,28.6,33.0,9.8,116.8,107.2,0.013493589743589744,0.12144230769230768
,Norman Powell,Lac,G,31.5,15,33.4,26.1,11.5,60,0.817,128,0.492,119,0.487,0.607,0.638,23.3,3.1,2.3,1.1,0.2,2.1,26.3,25.6,28.7,6.6,117.7,110.1,0.014580838323353294,0.11567465069860279
,Jayson Tatum,Bos,F-G,26.7,14,36.5,31.7,12.5,121,0.818,125,0.56,155,0.381,0.566,0.624,29.7,7.9,5.9,1.4,0.6,2.9,37.6,35.6,43.4,12.2,123.5,104.5,0.010438356164383562,0.11556751467710372
,Garrison Mathews,Atl,G,28.1,14,21.7,14.5,7.3,26,0.885,14,0.429,75,0.467,0.657,0.697,10.0,1.2,1.8,0.9,0.2,0.5,11.2,11.8,13.0,5.1,137.1,113.8,0.02152073732718894,0.11528966425279788
,Jordan Poole,Was,G,25.4,13,29.9,28.1,17.0,51,0.902,101,0.475,99,0.444,0.57,0.616,21.1,2.3,4.5,1.9,0.5,3.2,23.4,25.6,27.9,8.1,110.9,114.4,0.014849498327759197,0.11308464111139697
,Grayson Allen,Pho,G,29.1,11,21.9,21.3,13.2,23,0.739,20,0.45,72,0.375,0.538,0.568,10.5,2.5,1.0,0.6,0.4,1.3,13.1,11.5,14.1,5.4,104.0,113.1,0.01712328767123288,0.11207970112079702
,Derrick White,Bos,G,30.4,14,34.3,21.1,9.6,35,0.857,66,0.576,131,0.405,0.596,0.624,18.9,4.5,4.3,0.9,1.1,1.5,23.4,23.2,27.7,8.3,126.9,108.1,0.011807580174927116,0.11048521449396088
,Coby White,Chi,G,24.8,15,32.9,23.5,15.9,54,0.889,81,0.543,135,0.4,0.579,0.621,19.9,3.3,4.7,1.3,0.3,2.7,23.2,24.6,27.9,8.2,113.1,113.3,0.012158054711246202,0.1094224924012158
,Jared McCain,Phi,G,20.7,13,21.3,27.7,8.0,27,1.0,78,0.538,71,0.408,0.574,0.615,15.2,2.2,2.5,0.5,0.0,1.0,17.4,17.8,19.9,8.2,121.8,113.2,0.019154929577464785,0.1046153846153846
,Klay Thompson,Dal,G,34.8,14,29.0,20.3,7.4,11,1.0,56,0.482,118,0.356,0.517,0.534,13.6,3.4,1.8,0.6,0.3,1.0,17.0,15.4,18.8,6.0,107.9,114.9,0.012275862068965516,0.10346798029556649
,Isaiah Joe,Okc,G,25.4,14,22.2,15.9,3.6,8,0.75,20,0.6,88,0.364,0.556,0.565,9.0,3.1,1.7,0.7,0.3,0.3,12.1,10.7,13.9,6.5,119.3,101.9,0.016396396396396395,0.10306306306306305
,Darius Garland,Cle,G,24.8,15,30.2,27.2,15.2,44,0.932,122,0.582,101,0.455,0.628,0.662,21.4,2.4,7.0,1.2,0.3,2.7,23.8,28.4,30.8,9.4,126.3,107.9,0.015066225165562915,0.10144591611479029
,Sam Hauser,Bos,F,26.9,11,21.3,16.4,4.5,1,1.0,13,0.692,71,0.324,0.518,0.521,8.0,3.5,1.2,0.5,0.4,0.4,11.5,9.2,12.7,6.1,112.4,110.5,0.015211267605633802,0.09818181818181819
,Brandon Miller,Cha,F,22.0,9,30.2,24.6,10.5,17,0.941,51,0.431,85,0.306,0.449,0.481,15.3,4.2,3.8,1.3,0.4,1.8,19.6,19.1,23.3,8.3,103.4,111.7,0.010132450331125828,0.09569536423841059
,Victor Wembanyama,San,F-C,20.9,13,31.5,31.3,16.7,47,0.872,117,0.598,112,0.339,0.555,0.591,22.7,10.5,2.8,1.3,3.7,3.5,33.2,25.5,36.0,11.1,106.8,105.0,0.010761904761904762,0.09271794871794872
