"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Giannis Antetokounmpo","Mil","F","30","13","35.3","35.7","12.9","126","0.587","266","0.617","10","0.2","0.605","0.615","31.4","12.4","5.9","0.5","1.5","3.2","43.8","37.3","49.7","15","119.8","104.2"
"","Anthony Davis","Lal","F-C","31.7","12","35.1","32.1","10.5","129","0.798","202","0.579","28","0.429","0.587","0.65","31.1","11.2","2.6","1.3","2","2.3","42.3","33.7","44.8","11","127.1","110.8"
"","Nikola Jokic","Den","C","29.7","10","38.1","29.5","17.6","70","0.843","153","0.562","39","0.564","0.62","0.667","29.7","13.7","11.7","1.7","1","4.1","43.4","41.4","55.1","17.7","132.7","108.3"
"","Jayson Tatum","Bos","F-G","26.7","14","36.5","31.7","12.5","121","0.818","125","0.56","155","0.381","0.566","0.624","29.7","7.9","5.9","1.4","0.6","2.9","37.6","35.6","43.4","12.2","123.5","104.5"
"","LaMelo Ball","Cha","G","23.2","13","33.9","37.4","15.7","68","0.882","140","0.521","166","0.361","0.533","0.575","29.7","5","6.7","1.2","0.2","4.4","34.7","36.4","41.4","11.8","112.5","106.5"
"","Paolo Banchero","Orl","F","22","5","36.4","31.8","10.2","59","0.644","65","0.569","32","0.344","0.552","0.59","29","8.8","5.6","0.6","0.8","2.2","37.8","34.6","43.4","12.4","120","101.6"
"","De'Aaron Fox","Sac","G","26.9","15","37.4","32","15","99","0.838","219","0.571","93","0.355","0.559","0.607","28.8","5","5.7","1.7","0.1","3.7","33.8","34.5","39.5","10","115.1","108.3"
"","Shai Gilgeous-Alexander","Okc","G","26.4","14","33.5","32.9","11.4","105","0.886","203","0.576","76","0.316","0.548","0.613","28.5","5.3","6.3","1.6","1.2","2.6","33.8","34.8","40.1","11.7","121.8","104.7"
"","Luka Doncic","Dal","F-G","25.7","13","37.2","33.9","12.5","87","0.793","170","0.506","131","0.321","0.495","0.541","28.2","7.8","7.8","1.5","0.3","3.3","36.1","36.1","43.9","12.9","111.5","106.3"
"","Anthony Edwards","Min","G","23.3","14","37.1","30.5","13","61","0.754","136","0.537","158","0.424","0.59","0.612","28.1","5.1","3.8","1.1","0.5","3.1","33.1","31.9","36.9","8.8","112.9","110.5"
